מס. לקוח,שם לקוח,עיר,כתובת מקום פעילות
7800164,דיירי רחוב,ראשון לציון,משה בקר 22
7800370,הבית החם למען הקהילה רחובות,רחובות,טשרניחובסקי 47
7800526,עמותת אהבת חסד ראשון לציון,ראשון לציון,עטרות 1
7800170,עמותת הוד ישראל,רחובות,אברהם גולדברג 2
7800168,עמותת חסדי שרה,נתניה,הארי 15 נתניה
7800003,עמותת טל חיים,פתח תקווה,ברנדה 45 פתח תקווה 49600
7800018,עמותת לשובע,תל אביב,צ'לנוב 18
7800173,עמותת מחסן רעננה,רעננה,רחוב החרושת 2
7800007,עמותת ניצב רפאל,ירושלים,"רחוב הסדנא 9, ירושלים"
7800197,עמותת נתינה מפעל החסד של נתניה,נתניה,עזרה 25 שכונת דורה
7800127,עמותת חכמה ודעת לב חם,חדרה,רוטשילד 38 חדרה
7800230,עמותת יהדות בוכרה,תל אביב,הכינור 2 תל אביב
